cetnost,jmeno,vocativ,sex,id,jmeno_ascii
316559,Marie,Marie,F,1,marie
274303,Jana,Jano,F,2,jana
160317,Eva,Evo,F,3,eva
150573,Hana,Hano,F,4,hana
148688,Anna,Anno,F,5,anna
124871,Věra,Věro,F,6,vera
119366,Lenka,Lenko,F,7,lenka
110936,Kateřina,Kateřino,F,8,katerina
110046,Alena,Aleno,F,9,alena
103702,Lucie,Lucie,F,10,lucie
102321,Petra,Petro,F,11,petra
94475,Jaroslava,Jaroslavo,F,12,jaroslava
85939,Ludmila,Ludmilo,F,13,ludmila
82985,Helena,Heleno,F,14,helena
81543,Martina,Martino,F,15,martina
81238,Veronika,Veroniko,F,16,veronika
80651,Jitka,Jitko,F,17,jitka
77398,Zdeňka,Zdeňko,F,18,zdenka
74652,Michaela,Michaelo,F,19,michaela
70551,Jarmila,Jarmilo,F,20,jarmila
70433,Ivana,Ivano,F,21,ivana
67161,Tereza,Terezo,F,22,tereza
66724,Jiřina,Jiřino,F,23,jirina
63457,Monika,Moniko,F,24,monika
58827,Zuzana,Zuzano,F,25,zuzana
57019,Markéta,Markéto,F,26,mark'eta
55523,Marcela,Marcelo,F,27,marcela
54563,Božena,Boženo,F,28,bozena
53843,Dagmar,Dagmar,F,29,dagmar
52940,Vlasta,Vlasto,F,30,vlasta
52186,Dana,Dano,F,31,dana
48588,Barbora,Barboro,F,32,barbora
46806,Libuše,Libuše,F,33,libuse
46079,Eliška,Eliško,F,34,eliska
45086,Marta,Marto,F,35,marta
44972,Irena,Ireno,F,36,irena
44627,Miroslava,Miroslavo,F,37,miroslava
42584,Pavla,Pavlo,F,38,pavla
42461,Kristýna,Kristýno,F,39,krist'yna
40096,Andrea,Andreo,F,40,andrea
39585,Olga,Olgo,F,41,olga
38943,Růžena,Růženo,F,42,ruzena
37149,Šárka,Šárko,F,43,s'arka
36989,Iveta,Iveto,F,44,iveta
35656,Pavlína,Pavlíno,F,45,pavl'ina
33433,Blanka,Blanko,F,46,blanka
33220,Klára,Kláro,F,47,kl'ara
32179,Adéla,Adélo,F,48,ad'ela
31935,Nikola,Nikolo,F,49,nikola
31892,Milada,Milado,F,50,milada
31107,Renata,Renato,F,51,renata
30975,Zdenka,Zdenko,F,52,zdenka
29157,Gabriela,Gabrielo,F,53,gabriela
27601,Simona,Simono,F,54,simona
26884,Radka,Radko,F,55,radka
26360,Karolína,Karolíno,F,56,karol'ina
26178,Milena,Mileno,F,57,milena
26084,Iva,Ivo,F,58,iva
25728,Daniela,Danielo,F,59,daniela
25549,Miloslava,Miloslavo,F,60,miloslava
24067,Denisa,Deniso,F,61,denisa
23935,Aneta,Aneto,F,62,aneta
22952,Miluše,Miluše,F,63,miluse
22169,Romana,Romano,F,64,romana
21553,Natálie,Natálie,F,65,nat'alie
20959,Ilona,Ilono,F,66,ilona
20468,Stanislava,Stanislavo,F,67,stanislava
20165,Anežka,Anežko,F,68,anezka
19834,Květoslava,Květoslavo,F,69,kvetoslava
19493,Soňa,Soňo,F,70,sona
19255,Naděžda,Naděždo,F,71,nadezda
18975,Emilie,Emilie,F,72,emilie
18716,Vladimíra,Vladimíro,F,73,vladim'ira
18460,Kamila,Kamilo,F,74,kamila
17211,Danuše,Danuše,F,75,danuse
17091,Drahomíra,Drahomíro,F,76,drahom'ira
16439,Renáta,Renáto,F,77,ren'ata
16087,Jindřiška,Jindřiško,F,78,jindriska
14595,Františka,Františko,F,79,frantiska
14111,Mária,Mário,F,80,m'aria
13073,Vendula,Vendulo,F,81,vendula
12994,Alžběta,Alžběto,F,82,alzbeta
12017,Štěpánka,Štěpánko,F,83,step'anka
10896,Bohumila,Bohumilo,F,84,bohumila
10250,Magdalena,Magdaleno,F,85,magdalena
10127,Dominika,Dominiko,F,86,dominika
10065,Ladislava,Ladislavo,F,87,ladislava
9475,Julie,Julie,F,88,julie
9335,Nela,Nelo,F,89,nela
9158,Sabina,Sabino,F,90,sabina
8880,Žaneta,Žaneto,F,91,zaneta
8609,Sára,Sáro,F,92,s'ara
8579,Blažena,Blaženo,F,93,blazena
8456,Květa,Květo,F,94,kveta
8339,Alice,Alice,F,95,alice
8032,Kristina,Kristino,F,96,kristina
7798,Alexandra,Alexandro,F,97,alexandra
7679,Karla,Karlo,F,98,karla
7611,Antonie,Antonie,F,99,antonie
7462,Silvie,Silvie,F,100,silvie
7088,Nikol,Nikol,F,101,nikol
7079,Květuše,Květuše,F,102,kvetuse
7045,Hedvika,Hedviko,F,103,hedvika
7002,Erika,Eriko,F,104,erika
6989,Magdaléna,Magdaléno,F,105,magdal'ena
6713,Václava,Václavo,F,106,v'aclava
6478,Leona,Leono,F,107,leona
6410,Edita,Edito,F,108,edita
6299,Jolana,Jolano,F,109,jolana
6202,Linda,Lindo,F,110,linda
5929,Viktorie,Viktorie,F,111,viktorie
5739,Terezie,Terezie,F,112,terezie
5715,Margita,Margito,F,113,margita
5671,Adriana,Adriano,F,114,adriana
5664,Bohuslava,Bohuslavo,F,115,bohuslava
5525,Lada,Lado,F,116,lada
5500,Magda,Magdo,F,117,magda
5076,Josefa,Josefo,F,118,josefa
5041,Elena,Eleno,F,119,elena
5008,Dita,Dito,F,120,dita
4988,Sandra,Sandro,F,121,sandra
4939,Vladislava,Vladislavo,F,122,vladislava
4853,Taťána,Taťáno,F,123,tat'ana
4773,Darina,Darino,F,124,darina
4667,Radmila,Radmilo,F,125,radmila
4578,Svatava,Svatavo,F,126,svatava
4494,Sylva,Sylvo,F,127,sylva
4335,Ivona,Ivono,F,128,ivona
4269,Bronislava,Bronislavo,F,129,bronislava
4144,Ivanka,Ivanko,F,130,ivanka
4143,Diana,Diano,F,131,diana
4118,Ema,Emo,F,132,ema
4057,Oldřiška,Oldřiško,F,133,oldriska
3971,Maria,Mario,F,134,maria
3928,Drahoslava,Drahoslavo,F,135,drahoslava
3840,Světlana,Světlano,F,136,svetlana
3836,Anděla,Andělo,F,137,andela
3810,Mariya,Mariyo,F,138,mariya
3790,Miluška,Miluško,F,139,miluska
3600,Michala,Michalo,F,140,michala
3544,Lidmila,Lidmilo,F,141,lidmila
3474,Karin,Karin,F,142,karin
3471,Katarína,Kataríno,F,143,katar'ina
3453,Jindra,Jindro,F,144,jindra
3230,Zdena,Zdeno,F,145,zdena
3222,Vanda,Vando,F,146,vanda
3183,Karolina,Karolino,F,147,karolina
3179,Nataliya,Nataliyo,F,148,nataliya
3169,Nina,Nino,F,149,nina
3141,Jaromíra,Jaromíro,F,150,jarom'ira
3131,Vlastimila,Vlastimilo,F,151,vlastimila
2980,Valerie,Valerie,F,152,valerie
2959,Alenka,Alenko,F,153,alenka
2892,Johana,Johano,F,154,johana
2865,Oksana,Oksano,F,155,oksana
2860,Ingrid,Ingrid,F,156,ingrid
2798,Viera,Viero,F,157,viera
2762,Tamara,Tamaro,F,158,tamara
2721,Nataša,Natašo,F,159,natasa
2700,Žofie,Žofie,F,160,zofie
2687,Patricie,Patricie,F,161,patricie
2679,Ester,Ester,F,162,ester
2662,Svitlana,Svitlano,F,163,svitlana
2624,Dáša,Dášo,F,164,d'asa
2624,Zlata,Zlato,F,165,zlata
2546,Olena,Oleno,F,166,olena
2467,Lydie,Lydie,F,167,lydie
2383,Laura,Lauro,F,168,laura
2383,Tetyana,Tetyano,F,169,tetyana
2366,Bára,Báro,F,170,b'ara
2361,Emília,Emílio,F,171,em'ilia
2344,Vanesa,Vaneso,F,172,vanesa
2318,Hanna,Hanno,F,173,hanna
2234,Barbara,Barbaro,F,174,barbara
2230,Sylvie,Sylvie,F,175,sylvie
2221,Marika,Mariko,F,176,marika
2195,Amálie,Amálie,F,177,am'alie
2193,Danuška,Danuško,F,178,danuska
2132,Yvona,Yvono,F,179,yvona
2088,Naďa,Naďo,F,180,nada
2058,Gertruda,Gertrudo,F,181,gertruda
2023,Sofie,Sofie,F,182,sofie
1990,Regina,Regino,F,183,regina
1986,Miriam,Miriam,F,184,miriam
1973,Tatiana,Tatiano,F,185,tatiana
1971,Iryna,Iryno,F,186,iryna
1942,Bohdana,Bohdano,F,187,bohdana
1914,Aloisie,Aloisie,F,188,aloisie
1893,Vilma,Vilmo,F,189,vilma
1885,Mariana,Mariano,F,190,mariana
1867,Bedřiška,Bedřiško,F,191,bedriska
1856,Nicole,Nicole,F,192,nicole
1843,Radomíra,Radomíro,F,193,radom'ira
1824,Zděnka,Zděnko,F,194,zdenka
1819,Beáta,Beáto,F,195,be'ata
1811,Zlatuše,Zlatuše,F,196,zlatuse
1778,Agáta,Agáto,F,197,ag'ata
1768,Emma,Emmo,F,198,emma
1753,Yveta,Yveto,F,199,yveta
1735,Natalie,Natalie,F,200,natalie
1730,Alžbeta,Alžbeto,F,201,alzbeta
1696,Radana,Radano,F,202,radana
1692,Táňa,Táňo,F,203,t'ana
1675,Zora,Zoro,F,204,zora
1648,Lucia,Lucio,F,205,lucia
1638,Nicol,Nicol,F,206,nicol
1627,Olha,Olho,F,207,olha
1598,Vanessa,Vanesso,F,208,vanessa
1587,Zita,Zito,F,209,zita
1586,Anita,Anito,F,210,anita
1508,Brigita,Brigito,F,211,brigita
1501,Rozálie,Rozálie,F,212,roz'alie
1444,Vendulka,Vendulko,F,213,vendulka
1417,Nadiya,Nadiyo,F,214,nadiya
1411,Natalia,Natalio,F,215,natalia
1402,Radoslava,Radoslavo,F,216,radoslava
1401,Věnceslava,Věnceslavo,F,217,venceslava
1400,Valentina,Valentino,F,218,valentina
1362,Hildegarda,Hildegardo,F,219,hildegarda
1356,Irina,Irino,F,220,irina
1336,Běla,Bělo,F,221,bela
1334,Jaruška,Jaruško,F,222,jaruska
1323,Dobromila,Dobromilo,F,223,dobromila
1317,Helga,Helgo,F,224,helga
1311,Dorota,Doroto,F,225,dorota
1310,Janka,Janko,F,226,janka
1302,Beata,Beato,F,227,beata
1298,Halyna,Halyno,F,228,halyna
1298,Venuše,Venuše,F,229,venuse
1295,Irma,Irmo,F,230,irma
1293,Lea,Leo,F,231,lea
1264,Drahuše,Drahuše,F,232,drahuse
1256,Silvia,Silvio,F,233,silvia
1249,Krista,Kristo,F,234,krista
1238,Nicola,Nicolo,F,235,nicola
1235,Halina,Halino,F,236,halina
1226,Lyubov,Lyubov,F,237,lyubov
1199,Klaudie,Klaudie,F,238,klaudie
1198,Evženie,Evženie,F,239,evzenie
1190,Otilie,Otilie,F,240,otilie
1170,Lyudmyla,Lyudmylo,F,241,lyudmyla
1164,Valentýna,Valentýno,F,242,valent'yna
1151,Oľga,Oľgo,F,243,olga
1120,Vítězslava,Vítězslavo,F,244,v'itezslava
1108,Judita,Judito,F,245,judita
1068,Valérie,Valérie,F,246,val'erie
1066,Kristína,Kristíno,F,247,krist'ina
1053,Šarlota,Šarloto,F,248,sarlota
1032,Galina,Galino,F,249,galina
1020,Marianna,Marianno,F,250,marianna
1019,Dobroslava,Dobroslavo,F,251,dobroslava
985,Viola,Violo,F,252,viola
976,Svetlana,Svetlano,F,253,svetlana
956,Ľudmila,Ľudmilo,F,254,ludmila
948,Mirka,Mirko,F,255,mirka
945,Darja,Darjo,F,256,darja
941,Galyna,Galyno,F,257,galyna
941,Hilda,Hildo,F,258,hilda
935,Sarah,Sarah,F,259,sarah
919,Karina,Karino,F,260,karina
915,Valentyna,Valentyno,F,261,valentyna
909,Maryna,Maryno,F,262,maryna
907,Ida,Ido,F,263,ida
906,Berta,Berto,F,264,berta
900,Elen,Elen,F,265,elen
899,Júlia,Júlio,F,266,j'ulia
898,Anastázie,Anastázie,F,267,anast'azie
889,Zdislava,Zdislavo,F,268,zdislava
876,Cecilie,Cecilie,F,269,cecilie
869,Hermína,Hermíno,F,270,herm'ina
866,Eleonora,Eleonoro,F,271,eleonora
863,Angelika,Angeliko,F,272,angelika
859,Věroslava,Věroslavo,F,273,veroslava
850,Emilia,Emilio,F,274,emilia
840,Emílie,Emílie,F,275,em'ilie
838,Marina,Marino,F,276,marina
828,Juliana,Juliano,F,277,juliana
803,Liliana,Liliano,F,278,liliana
794,Alla,Allo,F,279,alla
789,Gizela,Gizelo,F,280,gizela
785,Terézia,Terézio,F,281,ter'ezia
782,Anastazie,Anastazie,F,282,anastazie
773,Jiřinka,Jiřinko,F,283,jirinka
764,Viktoriya,Viktoriyo,F,284,viktoriya
763,Taťjana,Taťjano,F,285,tatjana
762,Albína,Albíno,F,286,alb'ina
753,Ingeborg,Ingeborg,F,287,ingeborg
738,Taťana,Taťano,F,288,tatana
730,Krystyna,Krystyno,F,289,krystyna
723,Danuta,Danuto,F,290,danuta
719,Yvetta,Yvetto,F,291,yvetta
713,Ľubica,Ľubico,F,292,lubica
712,Ganna,Ganno,F,293,ganna
707,Izabela,Izabelo,F,294,izabela
691,Nella,Nello,F,295,nella
677,Jelena,Jeleno,F,296,jelena
670,Štefánia,Štefánio,F,297,stef'ania
668,Jozefa,Jozefo,F,298,jozefa
663,Vilemína,Vilemíno,F,299,vilem'ina
660,Vojtěška,Vojtěško,F,300,vojteska
658,Bohumíra,Bohumíro,F,301,bohum'ira
657,Angela,Angelo,F,302,angela
657,Rita,Rito,F,303,rita
654,Inna,Inno,F,304,inna
653,Slávka,Slávko,F,305,sl'avka
652,Verona,Verono,F,306,verona
651,Rozália,Rozálio,F,307,roz'alia
650,Terezia,Terezio,F,308,terezia
641,Julia,Julio,F,309,julia
635,Erna,Erno,F,310,erna
628,Yuliya,Yuliyo,F,311,yuliya
620,Liběna,Liběno,F,312,libena
614,Ella,Ello,F,313,ella
611,Vira,Viro,F,314,vira
608,Janina,Janino,F,315,janina
607,Jessica,Jessico,F,316,jessica
